,last_name,first_name,initials,affiliation,affiliation_date,publication_title,name
941,Ward,Andrew B,AB,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037; gnana@lanl.gov andrew@scripps.edu.
The International AIDS Vaccine Initiative Neutralizing Antibody Center, The Scripps Research Institute, La Jolla, CA 92037.
Scripps Consortium For HIV/AIDS Vaccine Development, The Scripps Research Institute, La Jolla, CA 92037.",2020-10-24,Visualization of the HIV-1 Env glycan shield across scales.,"Ward, Andrew B"
942,Bangaru,Sandhya,S,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Bangaru, Sandhya"
943,Ozorowski,Gabriel,G,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Ozorowski, Gabriel"
944,Turner,Hannah L,HL,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Turner, Hannah L"
945,Antanasijevic,Aleksandar,A,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Antanasijevic, Aleksandar"
946,Huang,Deli,D,"Department of Immunology and Microbiology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Huang, Deli"
947,Wang,Xiaoning,X,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Wang, Xiaoning"
948,Torres,Jonathan L,JL,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Torres, Jonathan L"
949,Diedrich,Jolene K,JK,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Diedrich, Jolene K"
950,Tian,Jing-Hui,JH,"Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Tian, Jing-Hui"
951,Portnoff,Alyse D,AD,"Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Portnoff, Alyse D"
952,Patel,Nita,N,"Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Patel, Nita"
953,Massare,Michael J,MJ,"Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Massare, Michael J"
954,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Yates, John R"
955,Nemazee,David,D,"Department of Immunology and Microbiology, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Nemazee, David"
956,Paulson,James C,JC,"Department of Immunology and Microbiology, The Scripps Research Institute, La Jolla, CA 92037, USA.
Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA 92037, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Paulson, James C"
957,Glenn,Greg,G,"Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Glenn, Greg"
958,Smith,Gale,G,"Novavax, Inc., 21 Firstfield Road, Gaithersburg, MD 20878, USA.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Smith, Gale"
959,Ward,Andrew B,AB,"Department of Integrative Structural and Computational Biology, The Scripps Research Institute, La Jolla, CA 92037, USA. andrew@scripps.edu.",2020-10-22,Structural analysis of full-length SARS-CoV-2 spike protein from an advanced vaccine candidate.,"Ward, Andrew B"
960,Mun,Dong-Gi,DG,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Mun, Dong-Gi"
961,Renuse,Santosh,S,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Individualized Medicine, Mayo Clinic, Rochester, Minnesota 55905, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Renuse, Santosh"
962,Saraswat,Mayank,M,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Molecular Medicine, National Institute of Mental Health and Neurosciences (NIMHANS), Hosur Road, Bangalore 560029, India.
Institute of Bioinformatics, International Technology Park, Bangalore 560066, Karnataka, India.
Manipal Academy of Higher Education (MAHE), Manipal 576104 Karnataka, India.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Saraswat, Mayank"
963,Madugundu,Anil,A,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Individualized Medicine, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Molecular Medicine, National Institute of Mental Health and Neurosciences (NIMHANS), Hosur Road, Bangalore 560029, India.
Institute of Bioinformatics, International Technology Park, Bangalore 560066, Karnataka, India.
Manipal Academy of Higher Education (MAHE), Manipal 576104 Karnataka, India.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Madugundu, Anil"
964,Udainiya,Savita,S,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Individualized Medicine, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Molecular Medicine, National Institute of Mental Health and Neurosciences (NIMHANS), Hosur Road, Bangalore 560029, India.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Udainiya, Savita"
965,Kim,Hokeun,H,"Department of Chemistry, Center for Proteogenome Research, Korea University, Seoul 136-701, Republic of Korea.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Kim, Hokeun"
966,Park,Sung-Kyu Robin,SR,"Department of Molecular Medicine and Neurobiology, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Park, Sung-Kyu Robin"
967,Zhao,Hui,H,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Zhao, Hui"
968,Nirujogi,Raja Sekhar,RS,"Medical Research Council Protein Phosphorylation and Ubiquitylation Unit, University of Dundee, Dundee DD1 5EH, United Kingdom.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Nirujogi, Raja Sekhar"
969,Na,Chan Hyun,CH,"McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland 21205, United States.
Neurology, Institute for Cell Engineering, Johns Hopkins University School of Medicine, Baltimore, Maryland 21205, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Na, Chan Hyun"
970,Kannan,Nagarajan,N,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Kannan, Nagarajan"
971,Yates,John R,JR,"Department of Molecular Medicine and Neurobiology, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, California 92037, United States.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Yates, John R"
972,Lee,Sang-Won,SW,"Department of Chemistry, Center for Proteogenome Research, Korea University, Seoul 136-701, Republic of Korea.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Lee, Sang-Won"
973,Pandey,Akhilesh,A,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Individualized Medicine, Mayo Clinic, Rochester, Minnesota 55905, United States.
Center for Molecular Medicine, National Institute of Mental Health and Neurosciences (NIMHANS), Hosur Road, Bangalore 560029, India.
Institute of Bioinformatics, International Technology Park, Bangalore 560066, Karnataka, India.
Manipal Academy of Higher Education (MAHE), Manipal 576104 Karnataka, India.",2020-10-21,PASS-DIA: A Data-Independent Acquisition Approach for Discovery Studies.,"Pandey, Akhilesh"
974,Huang,Ling,L,"The Razavi Newman Integrative Genomics and Bioinformatics Core, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Huang, Ling"
975,McClatchy,Daniel B,DB,"Department of Molecular Medicine and Neurobiology, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"McClatchy, Daniel B"
976,Maher,Pamela,P,"Cellular Neurobiology Laboratory, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Maher, Pamela"
977,Liang,Zhibin,Z,"Cellular Neurobiology Laboratory, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Liang, Zhibin"
978,Diedrich,Jolene K,JK,"Department of Molecular Medicine and Neurobiology, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Diedrich, Jolene K"
979,Soriano-Castell,David,D,"Cellular Neurobiology Laboratory, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Soriano-Castell, David"
980,Goldberg,Joshua,J,"Cellular Neurobiology Laboratory, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Goldberg, Joshua"
981,Shokhirev,Maxim,M,"The Razavi Newman Integrative Genomics and Bioinformatics Core, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Shokhirev, Maxim"
982,Yates,John R,JR,"Department of Molecular Medicine and Neurobiology, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Yates, John R"
983,Schubert,David,D,"Cellular Neurobiology Laboratory, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Schubert, David"
984,Currais,Antonio,A,"Cellular Neurobiology Laboratory, The Salk Institute for Biological Studies, 10010 N. Torrey Pines Rd., La Jolla, CA, 92037, USA. acurrais@salk.edu.",2020-10-08,Intracellular amyloid toxicity induces oxytosis/ferroptosis regulated cell death.,"Currais, Antonio"
985,McClatchy,Daniel B,DB,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA.",2020-10-01,Quantitative analysis of global protein stability rates in tissues.,"McClatchy, Daniel B"
986,Martínez-Bartolomé,Salvador,S,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA.",2020-10-01,Quantitative analysis of global protein stability rates in tissues.,"Martínez-Bartolomé, Salvador"
987,Gao,Yu,Y,"College of Pharmacy, University of Illinois at Chicago, Chicago, IL, USA.",2020-10-01,Quantitative analysis of global protein stability rates in tissues.,"Gao, Yu"
988,Lavallée-Adam,Mathieu,M,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA.
Department of Biochemistry, Microbiology and Immunology and Ottawa Institute of Systems Biology, University of Ottawa, Ottawa, ON, Canada.",2020-10-01,Quantitative analysis of global protein stability rates in tissues.,"Lavallée-Adam, Mathieu"
989,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, USA. jyates@scripps.edu.",2020-10-01,Quantitative analysis of global protein stability rates in tissues.,"Yates, John R"
990,Gomes,Fabio P,FP,"The Scripps Research Institute, La Jolla, CA, USA.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Gomes, Fabio P"
991,Park,Robin,R,"The Scripps Research Institute, La Jolla, CA, USA.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Park, Robin"
992,Viana,Arabela G,AG,"Federal University of Viçosa, Viçosa, MG, Brazil.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Viana, Arabela G"
993,Fernandez-Costa,Carolina,C,"The Scripps Research Institute, La Jolla, CA, USA.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Fernandez-Costa, Carolina"
994,Topper,Einko,E,"Alta Genetics Inc., Madison, WI, USA.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Topper, Einko"
995,Kaya,Abdullah,A,"Selcuk University, Konya, Turkey.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Kaya, Abdullah"
996,Memili,Erdogan,E,"Mississippi State University, Starkville, MS, USA.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Memili, Erdogan"
997,Yates,John R,JR,"The Scripps Research Institute, La Jolla, CA, USA. jyates@scripps.edu.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Yates, John R"
998,Moura,Arlindo A,AA,"Federal University of Ceará, Fortaleza, CE, Brazil. arlindo.moura@gmail.com.",2020-09-06,Protein signatures of seminal plasma from bulls with contrasting frozen-thawed sperm viability.,"Moura, Arlindo A"
999,Chen,Helen,H,"Department of Cell and Molecular Biology, St. Jude Children's Research Hospital, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Chen, Helen"
1000,Victor,A Kaitlyn,AK,"Department of Neurology, Department of Pediatrics, and Department of Anatomy and Neurobiology, University of Tennessee Health Science Center, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Victor, A Kaitlyn"
1001,Klein,Jonathon,J,"Department of Cell and Molecular Biology, St. Jude Children's Research Hospital, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Klein, Jonathon"
1002,Tacer,Klementina Fon,KF,"Department of Cell and Molecular Biology, St. Jude Children's Research Hospital, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Tacer, Klementina Fon"
1003,Tai,Derek Jc,DJ,"Center for Genomic Medicine, Department of Neurology, Department of Pathology, and Department of Psychiatry, Massachusetts General Hospital, Boston, Massachusetts, USA.
Department of Neurology, Harvard Medical School, Boston, Massachusetts, USA.
Program in Medical and Population Genetics and Stanley Center for Psychiatric Research, Broad Institute, Cambridge, Massachusetts, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Tai, Derek Jc"
1004,de Esch,Celine,C,"Center for Genomic Medicine, Department of Neurology, Department of Pathology, and Department of Psychiatry, Massachusetts General Hospital, Boston, Massachusetts, USA.
Department of Neurology, Harvard Medical School, Boston, Massachusetts, USA.
Program in Medical and Population Genetics and Stanley Center for Psychiatric Research, Broad Institute, Cambridge, Massachusetts, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"de Esch, Celine"
1005,Nuttle,Alexander,A,"Center for Genomic Medicine, Department of Neurology, Department of Pathology, and Department of Psychiatry, Massachusetts General Hospital, Boston, Massachusetts, USA.
Department of Neurology, Harvard Medical School, Boston, Massachusetts, USA.
Program in Medical and Population Genetics and Stanley Center for Psychiatric Research, Broad Institute, Cambridge, Massachusetts, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Nuttle, Alexander"
1006,Temirov,Jamshid,J,"Department of Cell and Molecular Biology, St. Jude Children's Research Hospital, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Temirov, Jamshid"
1007,Burnett,Lisa C,LC,"Levo Therapeutics, Inc., Skokie, Illinois, USA.
Division of Molecular Genetics, Department of Pediatrics, and Naomi Berrie Diabetes Center, Vagelos College of Physicians and Surgeons, Columbia University Irving Medical Center, New York, New York, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Burnett, Lisa C"
1008,Rosenbaum,Michael,M,"Division of Molecular Genetics, Department of Pediatrics, and Naomi Berrie Diabetes Center, Vagelos College of Physicians and Surgeons, Columbia University Irving Medical Center, New York, New York, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Rosenbaum, Michael"
1009,Zhang,Yiying,Y,"Division of Molecular Genetics, Department of Pediatrics, and Naomi Berrie Diabetes Center, Vagelos College of Physicians and Surgeons, Columbia University Irving Medical Center, New York, New York, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Zhang, Yiying"
1010,Ding,Li,L,"Division of Oncology Research and Schulze Center for Novel Therapeutics, Mayo Clinic, Rochester, Minnesota, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Ding, Li"
1011,Moresco,James J,JJ,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Moresco, James J"
1012,Diedrich,Jolene K,JK,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Diedrich, Jolene K"
1013,Yates,John R,JR,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, California, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Yates, John R"
1014,Tillman,Heather S,HS,"Veterinary Pathology Core, St. Jude Children's Research Hospital, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Tillman, Heather S"
1015,Leibel,Rudolph L,RL,"Division of Molecular Genetics, Department of Pediatrics, and Naomi Berrie Diabetes Center, Vagelos College of Physicians and Surgeons, Columbia University Irving Medical Center, New York, New York, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Leibel, Rudolph L"
1016,Talkowski,Michael E,ME,"Center for Genomic Medicine, Department of Neurology, Department of Pathology, and Department of Psychiatry, Massachusetts General Hospital, Boston, Massachusetts, USA.
Department of Neurology, Harvard Medical School, Boston, Massachusetts, USA.
Program in Medical and Population Genetics and Stanley Center for Psychiatric Research, Broad Institute, Cambridge, Massachusetts, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Talkowski, Michael E"
1017,Billadeau,Daniel D,DD,"Division of Oncology Research and Schulze Center for Novel Therapeutics, Mayo Clinic, Rochester, Minnesota, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Billadeau, Daniel D"
1018,Reiter,Lawrence T,LT,"Department of Neurology, Department of Pediatrics, and Department of Anatomy and Neurobiology, University of Tennessee Health Science Center, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Reiter, Lawrence T"
1019,Potts,Patrick Ryan,PR,"Department of Cell and Molecular Biology, St. Jude Children's Research Hospital, Memphis, Tennessee, USA.",2020-09-04,Loss of MAGEL2 in Prader-Willi syndrome leads to decreased secretory granule and neuropeptide production.,"Potts, Patrick Ryan"
1020,Burrows,Cynthia J,CJ,,2020-08-25,Confronting Racism in Chemistry Journals.,"Burrows, Cynthia J"
1021,Huang,Jiaxing,J,,2020-08-25,Confronting Racism in Chemistry Journals.,"Huang, Jiaxing"
1022,Wang,Shu,S,,2020-08-25,Confronting Racism in Chemistry Journals.,"Wang, Shu"
1023,Kim,Hyun Jae,HJ,,2020-08-25,Confronting Racism in Chemistry Journals.,"Kim, Hyun Jae"
1024,Meyer,Gerald J,GJ,,2020-08-25,Confronting Racism in Chemistry Journals.,"Meyer, Gerald J"
1025,Schanze,Kirk,K,,2020-08-25,Confronting Racism in Chemistry Journals.,"Schanze, Kirk"
1026,Lee,T Randall,TR,,2020-08-25,Confronting Racism in Chemistry Journals.,"Lee, T Randall"
1027,Lutkenhaus,Jodie L,JL,,2020-08-25,Confronting Racism in Chemistry Journals.,"Lutkenhaus, Jodie L"
1028,Kaplan,David,D,,2020-08-25,Confronting Racism in Chemistry Journals.,"Kaplan, David"
1029,Jones,Christopher,C,,2020-08-25,Confronting Racism in Chemistry Journals.,"Jones, Christopher"
1030,Bertozzi,Carolyn,C,,2020-08-25,Confronting Racism in Chemistry Journals.,"Bertozzi, Carolyn"
1031,Kiessling,Laura,L,,2020-08-25,Confronting Racism in Chemistry Journals.,"Kiessling, Laura"
1032,Mulcahy,Mary Beth,MB,,2020-08-25,Confronting Racism in Chemistry Journals.,"Mulcahy, Mary Beth"
1033,Lindsley,Craig W,CW,,2020-08-25,Confronting Racism in Chemistry Journals.,"Lindsley, Craig W"
1034,Finn,M G,MG,,2020-08-25,Confronting Racism in Chemistry Journals.,"Finn, M G"
1035,Blum,Joel D,JD,,2020-08-25,Confronting Racism in Chemistry Journals.,"Blum, Joel D"
1036,Kamat,Prashant,P,,2020-08-25,Confronting Racism in Chemistry Journals.,"Kamat, Prashant"
1037,Choi,Wonyong,W,,2020-08-25,Confronting Racism in Chemistry Journals.,"Choi, Wonyong"
1038,Snyder,Shane,S,,2020-08-25,Confronting Racism in Chemistry Journals.,"Snyder, Shane"
1039,Aldrich,Courtney C,CC,,2020-08-25,Confronting Racism in Chemistry Journals.,"Aldrich, Courtney C"
1040,Rowan,Stuart,S,,2020-08-25,Confronting Racism in Chemistry Journals.,"Rowan, Stuart"
1041,Liu,Bin,B,,2020-08-25,Confronting Racism in Chemistry Journals.,"Liu, Bin"
1042,Liotta,Dennis,D,,2020-08-25,Confronting Racism in Chemistry Journals.,"Liotta, Dennis"
1043,Weiss,Paul S,PS,,2020-08-25,Confronting Racism in Chemistry Journals.,"Weiss, Paul S"
1044,Zhang,Deqing,D,,2020-08-25,Confronting Racism in Chemistry Journals.,"Zhang, Deqing"
1045,Ganesh,Krishna N,KN,,2020-08-25,Confronting Racism in Chemistry Journals.,"Ganesh, Krishna N"
1046,Atwater,Harry A,HA,,2020-08-25,Confronting Racism in Chemistry Journals.,"Atwater, Harry A"
1047,Gooding,J Justin,JJ,,2020-08-25,Confronting Racism in Chemistry Journals.,"Gooding, J Justin"
1048,Allen,David T,DT,,2020-08-25,Confronting Racism in Chemistry Journals.,"Allen, David T"
1049,Voigt,Christopher A,CA,,2020-08-25,Confronting Racism in Chemistry Journals.,"Voigt, Christopher A"
1050,Sweedler,Jonathan,J,,2020-08-25,Confronting Racism in Chemistry Journals.,"Sweedler, Jonathan"
1051,Schepartz,Alanna,A,,2020-08-25,Confronting Racism in Chemistry Journals.,"Schepartz, Alanna"
1052,Rotello,Vincent,V,,2020-08-25,Confronting Racism in Chemistry Journals.,"Rotello, Vincent"
1053,Lecommandoux,Sébastien,S,,2020-08-25,Confronting Racism in Chemistry Journals.,"Lecommandoux, Sébastien"
1054,Sturla,Shana J,SJ,,2020-08-25,Confronting Racism in Chemistry Journals.,"Sturla, Shana J"
1055,Hammes-Schiffer,Sharon,S,,2020-08-25,Confronting Racism in Chemistry Journals.,"Hammes-Schiffer, Sharon"
1056,Buriak,Jillian,J,,2020-08-25,Confronting Racism in Chemistry Journals.,"Buriak, Jillian"
1057,Steed,Jonathan W,JW,,2020-08-25,Confronting Racism in Chemistry Journals.,"Steed, Jonathan W"
1058,Wu,Hongwei,H,,2020-08-25,Confronting Racism in Chemistry Journals.,"Wu, Hongwei"
1059,Zimmerman,Julie,J,,2020-08-25,Confronting Racism in Chemistry Journals.,"Zimmerman, Julie"
1060,Brooks,Bryan,B,,2020-08-25,Confronting Racism in Chemistry Journals.,"Brooks, Bryan"
1061,Savage,Phillip,P,,2020-08-25,Confronting Racism in Chemistry Journals.,"Savage, Phillip"
1062,Tolman,William,W,,2020-08-25,Confronting Racism in Chemistry Journals.,"Tolman, William"
1063,Hofmann,Thomas F,TF,,2020-08-25,Confronting Racism in Chemistry Journals.,"Hofmann, Thomas F"
1064,Brennecke,Joan F,JF,,2020-08-25,Confronting Racism in Chemistry Journals.,"Brennecke, Joan F"
1065,Holme,Thomas A,TA,,2020-08-25,Confronting Racism in Chemistry Journals.,"Holme, Thomas A"
1066,Merz,Kenneth M,KM,,2020-08-25,Confronting Racism in Chemistry Journals.,"Merz, Kenneth M"
1067,Scuseria,Gustavo,G,,2020-08-25,Confronting Racism in Chemistry Journals.,"Scuseria, Gustavo"
1068,Jorgensen,William,W,,2020-08-25,Confronting Racism in Chemistry Journals.,"Jorgensen, William"
1069,Georg,Gunda I,GI,,2020-08-25,Confronting Racism in Chemistry Journals.,"Georg, Gunda I"
1070,Wang,Shaomeng,S,,2020-08-25,Confronting Racism in Chemistry Journals.,"Wang, Shaomeng"
1071,Proteau,Philip,P,,2020-08-25,Confronting Racism in Chemistry Journals.,"Proteau, Philip"
1072,Yates,John R,JR,,2020-08-25,Confronting Racism in Chemistry Journals.,"Yates, John R"
1073,Stang,Peter,P,,2020-08-25,Confronting Racism in Chemistry Journals.,"Stang, Peter"
1074,Walker,Gilbert C,GC,,2020-08-25,Confronting Racism in Chemistry Journals.,"Walker, Gilbert C"
1075,Hillmyer,Marc,M,,2020-08-25,Confronting Racism in Chemistry Journals.,"Hillmyer, Marc"
1076,Taylor,Lynne S,LS,,2020-08-25,Confronting Racism in Chemistry Journals.,"Taylor, Lynne S"
1077,Odom,Teri W,TW,,2020-08-25,Confronting Racism in Chemistry Journals.,"Odom, Teri W"
